county,year,total,male,female,age_less_than_15,age_15_to_24,age_25_to_34,age_35_to_44,age_45_to_54,age_55_to_64,age_65_to_74,age_75_to_84,age_85_and_above,race_white,race_black,race_asian,race_other,hispanic_latino,not_hispanic_latino,total_housing_unit
"Chelan County, Washington",2018,77036,38586,38450,11012.4,8069,4764,10072,9708,14268,4825,8315,4521,N,N,N,60915,1855,21792,142
"Clallam County, Washington",2018,76737,38390,38347,6853.1,8097,3080,7676,8180,14411,6379,12898,6162,N,N,N,70564,5274,4933,6
"Clark County, Washington",2018,481857,238961,242896,60859.4,64686,27681,65339,64457,94397,30068,46501,20809,6082,5414,797,430181,11703,47985,4263
"Cowlitz County, Washington",2018,108987,53593,55394,12877.7,15070,5692,13447,12459,20442,8240,12649,5713,1033,2612,27,100936,6038,9975,278
"Franklin County, Washington",2018,94347,48874,45473,17175.5,16491,5942,15112,12987,13292,4288,5691,2806,N,N,N,72194,2805,50456,0
"Grant County, Washington",2018,97331,49789,47542,14847.7,16909,6037,13235,12081,14917,5328,8744,4012,90,903,0,70074,2915,41005,0
"Grays Harbor County, Washington",2018,73901,37073,36828,7561.7,9503,3687,7958,8689,14432,5859,10090,4673,167,1971,0,68628,4948,7563,154
"Island County, Washington",2018,84460,42186,42274,7718.8,8850,5617,12234,8769,13920,6648,12673,6296,314,1288,0,76303,3551,6859,254
"King County, Washington",2018,2233163,1121145,1112018,259244.8,241068,133686,410103,335001,433391,125879,177427,79338,18451,15914,3229,1536482,43590,218263,17109
"Kitsap County, Washington",2018,269805,138086,131719,31598.8,28448,21403,38813,31600,51803,18496,30258,14265,4357,5403,154,236448,8826,21523,2698
"Lewis County, Washington",2018,79604,39969,39635,8964.8,10086,3865,9815,9032,14639,6723,9892,5046,755,1944,0,76460,3136,8194,186
"Mason County, Washington",2018,65507,33563,31944,7392.1,6776,4156,7062,6910,13757,4697,9345,3925,339,2206,84,56921,3493,6801,384
"Pierce County, Washington",2018,891299,443778,447521,121055.2,109079,58433,138724,119506,167714,53630,75617,34289,17122,8332,3669,715611,28151,99153,12919
"Skagit County, Washington",2018,128206,63062,65144,15490.8,15027,6191,17096,15849,22753,9280,15776,7848,638,1318,10,105932,4631,23928,115
"Snohomish County, Washington",2018,814901,407880,407021,101508.2,99269,46606,120993,116255,167992,52495,68890,28962,10907,10482,382,655346,22371,85109,4557
"Spokane County, Washington",2018,514631,253650,260981,61853.2,67027,33341,77130,64847,96596,30432,50548,24407,6872,6785,109,471174,15035,30473,3078
"Thurston County, Washington",2018,286419,139657,146762,33111.2,34301,16371,43746,37054,53241,19454,31417,12438,4806,3733,0,247587,7925,26299,2640
"Whatcom County, Washington",2018,225685,111469,114216,24779.6,28654,23061,30059,26771,38355,14756,24191,10552,2009,2342,0,198523,9564,21469,324
"Yakima County, Washington",2018,251446,125234,126212,41784.2,40032,17070,33475,29856,41423,13576,20408,10195,1015,3080,231,197520,14217,125472,241
"Benton County, Washington",2019,204390,102048,102342,29161.7,29405,12133,27601,28218,34953,11995,18876,8862,1035,1413,0,174805,3392,46210,114
"Chelan County, Washington",2019,77200,38858,38342,9549.3,11687,3115,9356,9843,13564,5544,8287,4535,70,477,62,58812,1108,21804,18
"Clallam County, Washington",2019,77331,38316,39015,7187.2,7181,2789,8469,8196,11490,8518,13857,7564,176,1177,34,69688,6201,5076,0
"Clark County, Washington",2019,488241,241610,246631,60062,66193,28405,65991,64122,97105,28087,49385,21683,5839,5336,0,433817,9911,49756,4340
"Cowlitz County, Washington",2019,110593,54770,55823,13858.1,13034,6325,14615,13288,21601,6958,12570,6004,1026,2650,0,104642,5207,10325,239
"Franklin County, Washington",2019,95222,48763,46459,17811,15606,6940,13711,13317,15023,4099,6006,1732,894,1284,0,71955,3115,51001,141
"Grant County, Washington",2019,97733,48784,48949,16776.7,15308,5583,13459,11788,15701,5789,7740,3849,118,1098,0,70966,2829,41236,0
"Grays Harbor County, Washington",2019,75061,37879,37182,7213.9,9833,3184,8591,8168,15559,5754,10602,4867,136,2346,0,68516,5008,7745,74
"Island County, Washington",2019,85141,43650,41491,9531.2,8057,5841,11414,9419,13860,6544,12450,6419,334,669,0,74666,1864,6969,1129
"King County, Washington",2019,2252782,1130491,1122291,247935.7,251809,132698,416655,342732,428407,128588,182862,81847,24522,17775,2148,1524208,44527,222642,15702
"Kitsap County, Washington",2019,271473,138370,133103,30982,30234,19544,39866,34074,49291,17679,31171,14831,2849,4526,86,234967,8036,22377,2585
"Lewis County, Washington",2019,80707,41102,39605,9395.8,9683,4149,10043,9216,15678,5339,10401,5226,95,4398,81,78094,4983,8500,63
"Mason County, Washington",2019,66768,34442,32326,7638.5,7001,3078,8025,7766,10839,6654,10283,4128,118,2952,9,61385,5289,7099,56
"Pierce County, Washington",2019,904980,451511,453469,119867.6,111496,61153,141209,121601,165251,56251,78802,35705,22147,12015,828,722091,28531,103027,11952
"Skagit County, Washington",2019,129205,62963,66242,14986,15901,6441,16558,15537,22360,9600,16624,8973,737,1501,25,111274,5768,24050,93
"Snohomish County, Washington",2019,822083,412292,409791,102441.6,98185,46073,123322,119234,167935,50426,71172,30975,9150,9083,631,649694,22821,87167,3300
"Spokane County, Washington",2019,522798,259173,263625,60588.3,69046,34394,78107,65597,92734,35910,52386,24967,5242,7158,1058,480373,17591,31835,3443
"Thurston County, Washington",2019,290536,141818,148718,35711.4,33352,16453,39829,39598,53460,20977,31532,15594,1953,2979,342,249993,8419,27212,2567
