year,area_title,occ_title,o_group,tot_emp,hourly_mean,annual_mean
2023,"Spokane-Spokane Valley, WA",Building and Grounds Cleaning and Maintenance,major,"8,450",20.02,"41,630"
2023,"Walla Walla, WA",Building and Grounds Cleaning and Maintenance,major,900,20.12,"41,850"
2023,"Wenatchee, WA",Building and Grounds Cleaning and Maintenance,major,"2,170",19.63,"40,820"
2023,"Yakima, WA",Building and Grounds Cleaning and Maintenance,major,"2,800",19.97,"41,530"
2023,"Bellingham, WA",Personal Care and Service,major,"1,740",22.27,"46,320"
2023,"Bremerton-Silverdale, WA",Personal Care and Service,major,"1,530",23.67,"49,230"
2023,"Kennewick-Richland, WA",Personal Care and Service,major,"1,840",23.29,"48,450"
2023,"Longview, WA",Personal Care and Service,major,470,21.67,"45,080"
2023,"Mount Vernon-Anacortes, WA",Personal Care and Service,major,800,22.38,"46,540"
2023,"Olympia-Tumwater, WA",Personal Care and Service,major,"2,360",22.80,"47,410"
2023,"Seattle-Tacoma-Bellevue, WA",Personal Care and Service,major,"37,720",25.82,"53,710"
2023,"Spokane-Spokane Valley, WA",Personal Care and Service,major,"4,660",22.54,"46,890"
2023,"Walla Walla, WA",Personal Care and Service,major,280,21.24,"44,180"
2023,"Wenatchee, WA",Personal Care and Service,major,970,21.62,"44,970"
2023,"Yakima, WA",Personal Care and Service,major,"1,340",21.52,"44,760"
2023,"Bellingham, WA",Sales and Related,major,"8,430",25.03,"52,060"
2023,"Bremerton-Silverdale, WA",Sales and Related,major,"7,600",24.14,"50,210"
2023,"Kennewick-Richland, WA",Sales and Related,major,"10,630",24.15,"50,230"
2023,"Longview, WA",Sales and Related,major,"3,570",24.02,"49,970"
2023,"Mount Vernon-Anacortes, WA",Sales and Related,major,"4,750",24.91,"51,800"
2023,"Olympia-Tumwater, WA",Sales and Related,major,"10,080",26.16,"54,420"
2023,"Seattle-Tacoma-Bellevue, WA",Sales and Related,major,"190,190",32.56,"67,720"
2023,"Spokane-Spokane Valley, WA",Sales and Related,major,"23,780",25.37,"52,760"
2023,"Walla Walla, WA",Sales and Related,major,"2,270",23.75,"49,390"
2023,"Wenatchee, WA",Sales and Related,major,"5,050",23.77,"49,450"
2023,"Yakima, WA",Sales and Related,major,"8,270",24.28,"50,490"
2023,"Bellingham, WA",Office and Administrative Support,major,"10,610",24.54,"51,040"
2023,"Bremerton-Silverdale, WA",Office and Administrative Support,major,"9,720",25.60,"53,240"
2023,"Kennewick-Richland, WA",Office and Administrative Support,major,"13,070",25.12,"52,260"
2023,"Longview, WA",Office and Administrative Support,major,"4,480",24.94,"51,880"
2023,"Mount Vernon-Anacortes, WA",Office and Administrative Support,major,"5,740",25.33,"52,690"
2023,"Olympia-Tumwater, WA",Office and Administrative Support,major,"15,740",24.80,"51,580"
2023,"Seattle-Tacoma-Bellevue, WA",Office and Administrative Support,major,"225,240",28.32,"58,910"
2023,"Spokane-Spokane Valley, WA",Office and Administrative Support,major,"31,380",23.81,"49,520"
2023,"Walla Walla, WA",Office and Administrative Support,major,"2,930",23.22,"48,290"
2023,"Wenatchee, WA",Office and Administrative Support,major,"5,520",23.66,"49,210"
2023,"Yakima, WA",Office and Administrative Support,major,"10,770",23.55,"48,970"
2023,"Bellingham, WA","Farming, Fishing, and Forestry",major,400,24.16,"50,260"
2023,"Bremerton-Silverdale, WA","Farming, Fishing, and Forestry",major,120,21.70,"45,130"
2023,"Kennewick-Richland, WA","Farming, Fishing, and Forestry",major,"2,270",18.70,"38,900"
2023,"Longview, WA","Farming, Fishing, and Forestry",major,450,30.69,"63,820"
2023,"Mount Vernon-Anacortes, WA","Farming, Fishing, and Forestry",major,260,25.00,"52,010"
2023,"Olympia-Tumwater, WA","Farming, Fishing, and Forestry",major,370,25.86,"53,790"
2023,"Seattle-Tacoma-Bellevue, WA","Farming, Fishing, and Forestry",major,"1,830",24.11,"50,140"
2023,"Spokane-Spokane Valley, WA","Farming, Fishing, and Forestry",major,480,25.42,"52,880"
2023,"Walla Walla, WA","Farming, Fishing, and Forestry",major,290,18.86,"39,230"
2023,"Wenatchee, WA","Farming, Fishing, and Forestry",major,"1,240",18.85,"39,210"
2023,"Yakima, WA","Farming, Fishing, and Forestry",major,"3,800",18.24,"37,940"
2023,"Bellingham, WA",Construction and Extraction,major,"6,180",35.41,"73,640"
2023,"Bremerton-Silverdale, WA",Construction and Extraction,major,"6,680",33.60,"69,890"
2023,"Kennewick-Richland, WA",Construction and Extraction,major,"8,720",37.17,"77,320"
2023,"Longview, WA",Construction and Extraction,major,"2,440",36.23,"75,360"
2023,"Mount Vernon-Anacortes, WA",Construction and Extraction,major,"3,220",38.33,"79,730"
2023,"Olympia-Tumwater, WA",Construction and Extraction,major,"4,810",34.53,"71,820"
2023,"Seattle-Tacoma-Bellevue, WA",Construction and Extraction,major,"95,880",39.75,"82,670"
2023,"Spokane-Spokane Valley, WA",Construction and Extraction,major,"11,930",32.40,"67,390"
2023,"Walla Walla, WA",Construction and Extraction,major,980,31.23,"64,950"
2023,"Wenatchee, WA",Construction and Extraction,major,"2,960",32.65,"67,910"
2023,"Yakima, WA",Construction and Extraction,major,"3,670",30.93,"64,340"
2023,"Bellingham, WA","Installation, Maintenance, and Repair",major,"3,530",31.01,"64,510"
2023,"Bremerton-Silverdale, WA","Installation, Maintenance, and Repair",major,"5,970",34.73,"72,240"
2023,"Kennewick-Richland, WA","Installation, Maintenance, and Repair",major,"5,720",31.69,"65,920"
2023,"Longview, WA","Installation, Maintenance, and Repair",major,"2,510",33.09,"68,820"
2023,"Mount Vernon-Anacortes, WA","Installation, Maintenance, and Repair",major,"2,430",31.37,"65,240"
2023,"Olympia-Tumwater, WA","Installation, Maintenance, and Repair",major,"4,060",30.25,"62,920"
2023,"Seattle-Tacoma-Bellevue, WA","Installation, Maintenance, and Repair",major,"71,170",34.51,"71,780"
2023,"Spokane-Spokane Valley, WA","Installation, Maintenance, and Repair",major,"9,980",29.34,"61,040"
2023,"Walla Walla, WA","Installation, Maintenance, and Repair",major,"1,050",30.29,"63,000"
2023,"Wenatchee, WA","Installation, Maintenance, and Repair",major,"2,500",29.95,"62,290"
2023,"Yakima, WA","Installation, Maintenance, and Repair",major,"4,220",27.54,"57,290"
2023,"Bellingham, WA",Production,major,"6,470",25.72,"53,490"
2023,"Bremerton-Silverdale, WA",Production,major,"4,530",30.77,"64,010"
2023,"Kennewick-Richland, WA",Production,major,"6,240",26.56,"55,230"
2023,"Longview, WA",Production,major,"4,400",27.61,"57,420"
2023,"Mount Vernon-Anacortes, WA",Production,major,"3,730",27.48,"57,160"
2023,"Olympia-Tumwater, WA",Production,major,"3,230",23.94,"49,800"
2023,"Seattle-Tacoma-Bellevue, WA",Production,major,"82,680",28.64,"59,580"
2023,"Spokane-Spokane Valley, WA",Production,major,"13,330",24.97,"51,940"
2023,"Walla Walla, WA",Production,major,"2,610",22.91,"47,650"
2023,"Wenatchee, WA",Production,major,"2,520",23.72,"49,340"
2023,"Yakima, WA",Production,major,"6,490",22.89,"47,610"
2023,"Bellingham, WA",Transportation and Material Moving,major,"6,810",24.01,"49,930"
2023,"Bremerton-Silverdale, WA",Transportation and Material Moving,major,"6,460",24.24,"50,410"
2023,"Kennewick-Richland, WA",Transportation and Material Moving,major,"11,770",22.69,"47,200"
2023,"Longview, WA",Transportation and Material Moving,major,"4,410",23.87,"49,650"
2023,"Mount Vernon-Anacortes, WA",Transportation and Material Moving,major,"4,640",24.61,"51,200"
2023,"Olympia-Tumwater, WA",Transportation and Material Moving,major,"9,270",23.26,"48,380"
2023,"Seattle-Tacoma-Bellevue, WA",Transportation and Material Moving,major,"160,700",30.46,"63,360"
2023,"Spokane-Spokane Valley, WA",Transportation and Material Moving,major,"22,620",23.38,"48,620"
2023,"Walla Walla, WA",Transportation and Material Moving,major,"1,840",21.63,"44,990"
2023,"Wenatchee, WA",Transportation and Material Moving,major,"5,830",20.42,"42,480"
2023,"Yakima, WA",Transportation and Material Moving,major,"13,300",20.98,"43,630"
2024,Washington,All,total,"3,539,650",39.21,"81,550"
2024,Washington,Management,major,"192,030",83.44,"173,550"
2024,Washington,Business and Financial Operations,major,"299,270",50.06,"104,130"
2024,Washington,Computer and Mathematical,major,"213,200",70.51,"146,660"
2024,Washington,Architecture and Engineering,major,"79,640",55.78,"116,020"
2024,Washington,"Life, Physical, and Social Science",major,"46,750",45.05,"93,700"
2024,Washington,Community and Social Service,major,"64,250",33.98,"70,680"
2024,Washington,Legal,major,"26,490",62.76,"130,550"
2024,Washington,Educational Instruction and Library,major,"195,230",35.52,"73,880"
2024,Washington,"Arts, Design, Entertainment, Sports, and Media",major,"55,040",39.46,"82,070"
2024,Washington,Healthcare Practitioners and Technical,major,"187,400",60.87,"126,600"
2024,Washington,Healthcare Support,major,"181,840",24.12,"50,160"
2024,Washington,Protective Service,major,"75,030",35.26,"73,350"
2024,Washington,Food Preparation and Serving Related,major,"295,060",21.96,"45,690"
